Age,Location,Gender,Income
68,Urban,Male,2607768
52,Urban,Female,923336
46,Suburban,Female,5629308
32,Suburban,Female,1594255
50,Urban,Female,73564
24,Urban,Female,71422
29,Urban,Male,65612
66,Urban,Female,292093
47,Suburban,Female,65204
38,Urban,Male,70134
48,Urban,Female,70030
41,Urban,Male,70732
37,Rural,Male,1586633
54,Rural,Male,66964
21,Rural,Male,66434
45,Suburban,Female,70592
61,Suburban,Male,73862
37,Suburban,Female,70574
41,Suburban,Male,68184
67,Rural,Female,610520
66,Urban,Male,75186
68,Urban,Male,69878
49,Urban,Male,73426
58,Urban,Male,73760
53,Suburban,Male,73302
70,Suburban,Male,75114
51,Urban,Male,131034
53,Urban,Male,256017
19,Rural,Female,41839
32,Urban,Male,90842
51,Urban,Female,65632
53,Suburban,Female,68224
23,Urban,Male,73562
56,Urban,Female,609165
59,Urban,Male,2146056
68,Urban,Male,72004
68,Urban,Male,67352
29,Urban,Male,539886
20,Urban,Female,65012
62,Urban,Male,68684
35,Suburban,Male,2536154
57,Urban,Male,940625
38,Urban,Female,71976
32,Urban,Male,73552
50,Urban,Female,76883
52,Urban,Female,72792
43,Urban,Male,52610
25,Rural,Male,73200
53,Rural,Male,84759
65,Urban,Female,7325673
47,Urban,Female,95112
40,Urban,Male,72156
59,Urban,Male,68132
61,Suburban,Male,1711577
31,Urban,Female,70866
31,Suburban,Female,68270
19,Rural,Male,74792
54,Urban,Male,35854
22,Urban,Female,67588
55,Urban,Female,826700
62,Urban,Female,65474
58,Rural,Male,5931345
64,Urban,Female,1314361
31,Urban,Male,74824
56,Suburban,Male,73314
42,Urban,Male,74252
37,Urban,Female,33821
19,Urban,Female,461267
56,Urban,Female,69206
23,Urban,Female,74310
34,Urban,Male,652324
42,Urban,Male,67224
45,Urban,Male,1211188
19,Urban,Male,71180
52,Rural,Male,9450323
54,Urban,Male,71242
22,Urban,Male,52944
18,Rural,Male,69718
57,Rural,Female,71956
29,Suburban,Male,67822
53,Urban,Male,67594
62,Urban,Male,67852
40,Urban,Female,66492
64,Suburban,Male,70742
48,Urban,Female,65072
28,Urban,Female,70428
27,Urban,Male,65950
20,Urban,Female,6678678
31,Urban,Male,67138
33,Suburban,Male,862987
27,Suburban,Female,66530
46,Urban,Male,161705
27,Suburban,Female,769648
29,Urban,Female,100534
47,Urban,Male,70486
58,Urban,Male,235587
18,Urban,Female,73388
22,Urban,Female,70158
37,Urban,Female,74060
25,Rural,Male,70938
60,Rural,Female,412387
29,Urban,Female,64902
18,Urban,Male,74650
37,Urban,Female,301715
45,Urban,Male,4443941
60,Urban,Male,315100
54,Urban,Male,268280
64,Urban,Male,65594
54,Urban,Male,72664
29,Urban,Male,2427139
54,Suburban,Male,69108
66,Suburban,Female,73436
66,Urban,Female,2360606
61,Urban,Male,68382
45,Rural,Female,757817
64,Urban,Female,1319726
32,Urban,Female,68316
23,Urban,Female,323809
61,Urban,Female,54451
37,Urban,Male,69680
67,Urban,Male,67520
31,Urban,Male,70744
19,Suburban,Female,69724
26,Urban,Female,73894
54,Urban,Female,74166
37,Urban,Male,71150
43,Urban,Female,71676
46,Urban,Female,70380
18,Urban,Female,75286
52,Urban,Male,69652
23,Urban,Male,71840
54,Suburban,Female,69464
70,Suburban,Female,68690
22,Urban,Female,69186
50,Urban,Female,8410443
66,Rural,Female,71308
68,Urban,Male,65640
31,Rural,Male,129309
29,Urban,Male,71258
59,Urban,Male,72664
37,Urban,Female,72488
70,Suburban,Female,70174
67,Urban,Female,1331940
41,Suburban,Male,72690
60,Suburban,Female,225704
51,Urban,Male,8168438
42,Urban,Female,70528
67,Urban,Male,74840
46,Urban,Male,69168
56,Suburban,Female,71176
48,Urban,Female,70826
64,Urban,Female,70212
60,Urban,Female,70490
67,Suburban,Female,67574
40,Urban,Female,65560
61,Rural,Male,8324468
55,Suburban,Male,66202
37,Suburban,Female,66822
40,Urban,Male,68112
62,Urban,Female,75118
69,Urban,Female,41303
33,Urban,Male,67404
67,Suburban,Male,71326
59,Urban,Female,484959
25,Urban,Male,67136
67,Urban,Female,71848
38,Urban,Male,1449655
18,Urban,Male,74898
25,Urban,Female,70560
46,Urban,Male,68692
49,Urban,Female,72592
55,Urban,Female,725420
22,Urban,Male,72610
64,Urban,Male,66624
39,Suburban,Female,1731600
64,Suburban,Male,763084
51,Urban,Female,72534
18,Urban,Female,67034
43,Urban,Male,1779504
60,Suburban,Female,409155
27,Suburban,Female,7913346
47,Urban,Female,102185
67,Rural,Female,71366
35,Urban,Male,67718
34,Urban,Female,2744513
43,Rural,Male,71228
25,Urban,Male,74742
64,Urban,Female,70244
57,Suburban,Female,75010
66,Urban,Male,66680
29,Suburban,Female,67850
44,Urban,Male,65372
25,Urban,Female,74416
42,Urban,Female,2009597
63,Urban,Female,74080
21,Suburban,Female,73896
50,Suburban,Male,74746
18,Urban,Female,70718
36,Urban,Female,484630
48,Suburban,Male,74694
33,Suburban,Male,9506872
31,Suburban,Male,1546365
70,Urban,Female,113686
65,Urban,Male,75006
22,Suburban,Male,71180
58,Suburban,Female,1918519
43,Urban,Male,74200
45,Urban,Male,68960
19,Urban,Male,67508
67,Suburban,Female,67488
23,Suburban,Female,110831
26,Suburban,Female,70250
50,Urban,Male,70050
58,Urban,Male,73542
42,Suburban,Female,1191815
65,Urban,Female,65902
30,Urban,Female,6043519
26,Urban,Female,69850
70,Rural,Female,205412
30,Urban,Male,1308106
48,Urban,Male,69530
58,Urban,Female,612391
28,Urban,Female,74568
21,Urban,Male,69088
51,Urban,Female,1818968
55,Suburban,Male,68462
63,Urban,Female,38945
21,Urban,Male,112005
55,Suburban,Male,67618
36,Urban,Male,69556
23,Urban,Male,2564030
51,Urban,Male,75236
35,Suburban,Male,67242
30,Suburban,Female,560292
58,Urban,Female,70648
40,Urban,Female,67048
36,Suburban,Female,70756
62,Urban,Male,73342
28,Suburban,Female,1811336
18,Urban,Male,72656
41,Urban,Female,65378
24,Urban,Male,50874
42,Urban,Female,72562
38,Urban,Male,69904
32,Urban,Male,75012
18,Urban,Male,785417
29,Urban,Female,69416
24,Urban,Male,75442
32,Urban,Female,70952
38,Suburban,Male,73752
36,Rural,Male,6228381
46,Urban,Female,74982
42,Urban,Male,71050
50,Urban,Female,70106
66,Urban,Female,74340
49,Urban,Female,47983
66,Urban,Female,69910
52,Suburban,Male,64892
61,Urban,Male,65630
55,Urban,Female,66254
43,Suburban,Female,66924
28,Urban,Male,69062
52,Urban,Female,3531839
25,Urban,Female,3644720
63,Rural,Male,68216
31,Urban,Male,74694
27,Urban,Female,67726
19,Suburban,Male,71670
63,Urban,Male,68250
26,Suburban,Female,7102400
20,Urban,Male,242881
38,Rural,Male,3517548
43,Suburban,Male,64954
25,Urban,Female,67320
65,Urban,Male,69456
19,Rural,Female,75330
23,Urban,Female,64956
45,Urban,Male,74914
70,Suburban,Male,1402780
46,Urban,Female,72348
43,Urban,Male,69944
42,Urban,Male,74868
29,Urban,Male,65178
22,Urban,Male,74148
51,Urban,Male,4528908
65,Suburban,Female,71828
54,Urban,Female,40278
32,Urban,Male,72294
61,Suburban,Male,126437
53,Urban,Female,68994
32,Urban,Female,290555
60,Suburban,Male,74106
65,Urban,Male,66768
40,Urban,Female,67016
23,Urban,Male,67182
63,Urban,Male,2352086
67,Suburban,Male,73302
61,Urban,Male,70606
60,Urban,Male,1213910
62,Suburban,Female,430739
38,Urban,Male,72104
40,Urban,Male,69580
60,Urban,Male,72460
33,Urban,Female,65044
64,Urban,Female,69206
70,Urban,Male,6422215
32,Urban,Female,6626930
42,Urban,Male,97110
53,Urban,Male,143648
28,Rural,Female,67926
68,Urban,Female,75322
32,Urban,Male,69232
21,Urban,Male,46094
38,Urban,Male,317824
30,Urban,Female,65008
39,Rural,Male,72604
36,Suburban,Male,65978
51,Urban,Female,1458701
31,Urban,Male,115678
21,Urban,Female,72048
65,Urban,Female,1309527
70,Urban,Male,38715
69,Urban,Female,74622
63,Urban,Female,71510
44,Urban,Male,4402219
46,Urban,Female,3235523
64,Rural,Male,75298
45,Rural,Female,67884
52,Urban,Male,82733
25,Urban,Female,9000568
33,Urban,Male,6950227
59,Suburban,Female,66150
53,Rural,Female,4793192
47,Suburban,Male,72086
35,Urban,Female,68236
19,Urban,Male,73404
66,Urban,Female,65490
30,Urban,Male,70258
21,Urban,Female,69262
43,Urban,Female,68874
42,Suburban,Male,73218
47,Suburban,Male,67755
28,Urban,Male,68016
24,Rural,Male,6056757
48,Urban,Female,68014
61,Rural,Male,65524
27,Rural,Female,124936
56,Urban,Male,74220
30,Urban,Female,73326
48,Urban,Male,68036
24,Suburban,Male,3551590
66,Urban,Male,4870221
59,Rural,Male,152689
59,Urban,Female,67376
53,Urban,Female,6720874
37,Rural,Male,73082
21,Urban,Female,48221
24,Urban,Male,66000
18,Urban,Female,66778
61,Urban,Female,69914
62,Urban,Male,65076
59,Urban,Male,69990
64,Urban,Female,75416
30,Suburban,Male,4153302
39,Urban,Male,71574
38,Suburban,Male,72686
39,Urban,Female,70020
45,Urban,Male,130585
26,Urban,Female,70524
43,Urban,Male,421210
26,Urban,Male,73880
32,Urban,Male,893703
27,Rural,Female,65436
41,Urban,Female,1855348
59,Urban,Female,66838
25,Urban,Male,984589
41,Suburban,Female,71368
33,Urban,Male,71136
66,Suburban,Female,67118
43,Urban,Female,66322
44,Urban,Female,1520058
54,Urban,Female,3269742
21,Suburban,Female,1031190
67,Urban,Male,69564
41,Urban,Male,227004
36,Urban,Male,69818
53,Urban,Female,71074
56,Urban,Male,4337968
27,Urban,Male,66918
42,Urban,Male,43297
35,Rural,Male,74172
36,Urban,Female,72200
53,Urban,Male,66044
27,Urban,Female,34971
50,Suburban,Male,195669
67,Urban,Male,66934
22,Urban,Female,66710
64,Urban,Male,35752
66,Urban,Male,546575
52,Urban,Male,75116
61,Urban,Female,105537
51,Urban,Female,5343504
50,Suburban,Male,69942
38,Suburban,Male,70442
34,Urban,Male,68458
39,Urban,Male,7069800
65,Rural,Male,2277733
54,Suburban,Male,185590
32,Urban,Male,2029969
52,Urban,Male,72096
45,Rural,Female,70792
24,Urban,Female,9992571
49,Suburban,Female,71212
28,Urban,Male,75202
27,Urban,Female,74920
26,Urban,Female,498009
31,Urban,Male,8720767
30,Urban,Male,70370
42,Suburban,Male,72536
19,Urban,Female,66943
52,Suburban,Male,72526
24,Urban,Male,74306
38,Urban,Female,311703
35,Urban,Female,68396
20,Rural,Male,5390982
59,Urban,Male,75202
56,Urban,Male,5345320
58,Rural,Female,67848
66,Urban,Female,71898
28,Suburban,Male,172260
56,Suburban,Female,1635819
41,Urban,Male,292826
63,Urban,Female,66280
36,Rural,Female,5343831
21,Urban,Male,74916
43,Urban,Male,65586
55,Urban,Male,73606
59,Urban,Female,70436
49,Suburban,Female,845994
56,Rural,Female,62661
62,Rural,Female,74616
63,Rural,Male,1029648
53,Urban,Male,904631
57,Suburban,Male,65392
54,Urban,Male,2623843
50,Urban,Female,2123170
53,Suburban,Male,1240121
20,Urban,Female,74452
26,Rural,Male,68968
25,Urban,Female,68764
50,Suburban,Male,468570
23,Urban,Female,686531
58,Urban,Female,64938
56,Urban,Female,291758
21,Urban,Female,65886
30,Urban,Male,65604
66,Rural,Male,74712
19,Urban,Female,73610
22,Urban,Male,68866
61,Urban,Female,144364
44,Urban,Male,4503862
49,Urban,Female,71418
38,Urban,Male,65982
25,Urban,Male,119209
55,Suburban,Female,202714
25,Urban,Male,68206
67,Urban,Female,67958
20,Urban,Female,70194
61,Urban,Female,39303
20,Suburban,Female,75348
39,Urban,Female,71582
23,Urban,Female,71666
19,Urban,Male,4066383
40,Rural,Male,65470
61,Urban,Female,74702
19,Urban,Male,68782
55,Urban,Female,67164
34,Urban,Male,4271416
52,Urban,Male,57061
51,Rural,Male,71144
40,Urban,Male,67954
47,Suburban,Male,6475908
69,Urban,Female,75222
25,Urban,Male,666836
39,Rural,Female,186611
61,Urban,Male,69946
53,Urban,Male,68510
22,Rural,Male,65544
30,Rural,Male,1454172
46,Suburban,Male,159124
48,Suburban,Female,1747095
64,Urban,Female,68604
33,Urban,Female,65272
59,Suburban,Female,70924
47,Rural,Female,67054
33,Urban,Female,1415399
29,Urban,Female,475017
34,Urban,Male,542436
33,Urban,Male,123649
29,Urban,Female,67822
25,Suburban,Male,5606461
37,Urban,Female,71366
20,Urban,Female,65442
33,Urban,Male,233333
47,Urban,Male,65840
62,Urban,Male,65808
40,Urban,Male,72088
45,Urban,Male,66674
68,Urban,Male,463776
57,Urban,Male,34174
22,Urban,Female,65310
37,Rural,Male,277509
57,Suburban,Female,1053161
61,Suburban,Male,67776
18,Urban,Male,74876
47,Urban,Male,519660
38,Urban,Male,286521
37,Suburban,Male,69166
23,Urban,Female,74668
39,Suburban,Female,69368
35,Urban,Female,65978
25,Urban,Male,66772
56,Urban,Female,74934
49,Suburban,Female,68528
50,Urban,Female,70666
70,Urban,Female,1284506
33,Rural,Male,47736
29,Urban,Male,69272
55,Urban,Male,74208
69,Urban,Female,67278
51,Urban,Female,65770
31,Urban,Female,700661
53,Suburban,Female,3878811
50,Urban,Male,68922
40,Suburban,Male,74794
67,Urban,Female,7060935
62,Urban,Female,542443
19,Rural,Male,613441
58,Urban,Male,388119
38,Suburban,Male,7592225
19,Suburban,Male,328105
44,Urban,Male,70170
26,Urban,Male,55492
18,Urban,Female,4273787
28,Rural,Male,79888
20,Urban,Female,461892
69,Urban,Female,9398112
40,Urban,Male,644694
43,Urban,Male,7308582
21,Urban,Female,74386
35,Urban,Female,34384
23,Rural,Male,70072
52,Urban,Female,74326
39,Urban,Female,73456
60,Urban,Female,117984
32,Suburban,Female,55238
39,Urban,Female,7269362
54,Urban,Female,69114
69,Urban,Male,65326
59,Urban,Female,72070
29,Urban,Male,67732
64,Urban,Female,74932
66,Urban,Female,73374
59,Urban,Female,82521
55,Suburban,Female,72720
35,Urban,Female,71436
62,Rural,Female,72874
52,Urban,Female,659404
47,Suburban,Female,52679
41,Urban,Female,64880
59,Urban,Female,73218
47,Suburban,Male,66530
31,Urban,Female,2478251
23,Urban,Male,66308
20,Suburban,Male,2552023
33,Suburban,Male,180920
24,Urban,Male,71580
69,Urban,Female,106278
31,Urban,Female,74534
26,Rural,Female,74986
32,Urban,Male,72708
38,Suburban,Female,446952
52,Urban,Male,203630
19,Urban,Female,74026
44,Urban,Male,69322
19,Urban,Female,90868
52,Urban,Female,74226
35,Urban,Female,118598
31,Urban,Female,2986742
37,Urban,Female,73162
35,Urban,Male,120386
27,Urban,Male,1478005
42,Suburban,Female,70482
19,Urban,Male,49679
42,Urban,Male,66358
50,Rural,Male,501522
53,Urban,Male,69716
48,Rural,Male,9138349
31,Urban,Female,67070
18,Urban,Female,169458
63,Urban,Male,127968
33,Urban,Female,66788
63,Urban,Female,71378
69,Urban,Male,69138
20,Suburban,Female,39111
52,Urban,Male,86843
58,Urban,Male,347909
23,Urban,Male,68952
42,Suburban,Female,49379
30,Urban,Male,864227
70,Urban,Male,66036
51,Suburban,Male,480848
25,Rural,Male,73786
38,Urban,Female,67698
51,Rural,Female,115444
21,Urban,Female,69868
42,Rural,Male,769594
32,Urban,Male,31212
21,Suburban,Female,68592
62,Suburban,Female,447186
29,Urban,Male,821963
49,Urban,Female,74004
49,Urban,Male,70330
45,Urban,Male,70784
30,Urban,Female,65582
48,Rural,Male,2731771
31,Urban,Male,72244
37,Urban,Female,53229
35,Urban,Male,124645
46,Urban,Female,35838
23,Urban,Male,78426
49,Urban,Male,71414
46,Suburban,Male,402252
60,Suburban,Male,3761922
19,Suburban,Male,31566
40,Suburban,Male,72594
36,Urban,Female,144325
48,Suburban,Female,65426
68,Urban,Female,74294
22,Urban,Male,1053578
36,Urban,Male,74938
51,Urban,Male,1091471
27,Urban,Male,72266
42,Urban,Male,103942
19,Urban,Male,66734
28,Urban,Female,64888
67,Suburban,Female,65482
48,Urban,Male,64932
32,Rural,Male,64968
26,Urban,Male,64878
40,Urban,Female,72716
36,Urban,Female,65240
26,Rural,Male,70804
52,Urban,Male,7294526
38,Urban,Female,72540
26,Urban,Female,68540
45,Urban,Female,6235850
63,Urban,Male,115535
68,Suburban,Female,9017116
24,Urban,Female,71374
33,Urban,Female,261373
33,Urban,Female,69278
50,Urban,Male,1402626
21,Rural,Male,58062
21,Suburban,Male,70098
56,Urban,Male,68040
57,Urban,Female,70478
34,Rural,Male,4370973
54,Urban,Male,73054
56,Urban,Female,72856
69,Rural,Female,786574
46,Urban,Male,66236
69,Urban,Female,2219656
53,Urban,Male,107920
55,Rural,Male,254877
56,Urban,Female,298512
67,Urban,Male,516714
54,Suburban,Female,3070967
69,Suburban,Male,5794992
52,Urban,Male,66356
24,Urban,Male,65658
44,Urban,Female,8654309
45,Urban,Female,47801
39,Urban,Female,66152
31,Suburban,Male,131558
24,Urban,Male,74500
54,Urban,Female,57108
39,Urban,Male,68104
22,Urban,Male,67674
19,Suburban,Female,8890316
44,Suburban,Male,71708
38,Urban,Female,9049636
55,Urban,Female,39662
32,Urban,Female,68116
38,Urban,Male,68770
27,Urban,Male,66040
40,Urban,Female,67280
56,Urban,Male,4830841
22,Urban,Female,73830
18,Urban,Male,68284
30,Urban,Male,3617744
38,Urban,Female,653830
43,Suburban,Male,4203617
67,Urban,Female,112205
62,Rural,Female,150681
38,Urban,Male,710172
70,Urban,Male,69280
35,Urban,Male,233466
54,Urban,Female,75278
62,Suburban,Female,72998
49,Urban,Female,73546
53,Urban,Male,71304
34,Urban,Male,144065
52,Urban,Female,73046
66,Urban,Male,69194
28,Urban,Male,71538
38,Urban,Male,69298
69,Suburban,Female,71922
70,Urban,Male,72162
43,Urban,Male,64896
21,Urban,Female,66836
51,Suburban,Female,803923
69,Suburban,Male,72224
65,Urban,Male,72530
35,Urban,Female,71776
57,Urban,Male,498718
52,Urban,Female,46683
58,Urban,Female,1618768
46,Urban,Male,66852
69,Suburban,Female,70852
46,Urban,Female,68428
55,Urban,Male,68662
59,Urban,Female,69830
38,Suburban,Male,73328
59,Urban,Female,3096344
30,Urban,Female,53631
66,Urban,Male,98044
58,Urban,Male,72674
34,Urban,Male,620764
26,Urban,Male,349513
58,Urban,Female,71340
18,Urban,Male,312945
19,Urban,Female,69112
65,Urban,Male,483901
46,Urban,Male,74306
50,Urban,Male,1082536
27,Suburban,Female,213331
67,Suburban,Male,72762
57,Rural,Male,644665
38,Urban,Female,72810
45,Urban,Female,3645882
28,Urban,Male,67168
51,Urban,Female,72072
25,Urban,Male,73450
39,Urban,Female,9649623
25,Urban,Female,973727
66,Urban,Male,70398
32,Rural,Female,78607
34,Urban,Female,6714796
40,Urban,Female,69446
41,Urban,Female,74122
62,Suburban,Female,6801000
36,Suburban,Male,73434
22,Urban,Female,71298
49,Urban,Female,73756
61,Suburban,Female,411809
18,Urban,Male,1709900
40,Rural,Male,8987029
54,Urban,Male,66566
25,Urban,Female,65146
30,Suburban,Male,65054
25,Urban,Male,74466
40,Urban,Male,474505
60,Urban,Female,71960
18,Suburban,Male,67215
62,Urban,Male,70150
68,Urban,Female,74718
41,Urban,Male,73526
52,Suburban,Male,73288
41,Urban,Female,127495
34,Urban,Male,2755248
22,Urban,Female,75042
37,Suburban,Male,260149
38,Suburban,Female,65634
57,Urban,Female,68648
48,Suburban,Male,3082076
63,Urban,Male,39796
53,Urban,Male,166997
28,Suburban,Female,66720
69,Urban,Male,220148
32,Urban,Male,2118575
36,Rural,Female,2054888
24,Urban,Male,453099
68,Urban,Male,53407
45,Suburban,Male,69958
68,Urban,Male,71208
60,Urban,Male,69098
22,Urban,Male,65802
22,Urban,Male,39840
47,Urban,Male,1000702
49,Urban,Male,73380
25,Urban,Female,67908
27,Suburban,Male,67192
55,Urban,Female,74434
64,Urban,Female,65604
49,Suburban,Male,280479
65,Suburban,Male,74174
45,Urban,Female,3284521
34,Urban,Male,74806
48,Urban,Male,70242
25,Urban,Male,32229
57,Urban,Male,31507
42,Urban,Male,72274
26,Urban,Female,1455572
19,Rural,Male,143559
32,Suburban,Male,71310
67,Urban,Female,73156
20,Urban,Male,70558
66,Suburban,Male,70020
53,Suburban,Male,65458
21,Rural,Male,69952
31,Urban,Male,426110
58,Urban,Female,73198
58,Rural,Male,109490
42,Urban,Male,68012
67,Suburban,Female,66722
27,Urban,Female,3749115
38,Suburban,Male,66400
53,Urban,Male,69654
29,Urban,Female,402736
44,Urban,Female,8415041
57,Rural,Female,2384563
19,Urban,Female,337301
30,Urban,Male,75206
70,Urban,Male,341498
49,Suburban,Female,68760
48,Urban,Female,71732
33,Urban,Male,68802
49,Urban,Female,74936
49,Urban,Male,145335
51,Urban,Female,68564
28,Urban,Male,75416
27,Suburban,Female,1189645
32,Urban,Male,71418
34,Urban,Female,68136
57,Suburban,Male,1234868
35,Rural,Female,73996
26,Suburban,Male,75076
42,Urban,Male,71320
57,Urban,Male,75212
31,Urban,Female,5094071
42,Urban,Male,72504
67,Urban,Male,130352
39,Suburban,Female,3156295
69,Urban,Male,65698
47,Urban,Male,67702
37,Urban,Female,72126
38,Urban,Female,65456
61,Urban,Male,69036
49,Urban,Female,6192209
68,Urban,Female,3217956
63,Urban,Female,9350351
66,Suburban,Male,73748
38,Urban,Female,3918525
52,Suburban,Male,1986793
49,Urban,Male,3949198
47,Suburban,Male,345600
56,Urban,Male,78242
66,Suburban,Female,193209
29,Urban,Female,2601630
58,Urban,Female,69630
64,Urban,Male,70714
35,Urban,Male,65522
38,Urban,Female,68220
30,Rural,Male,297852
38,Urban,Female,4359552
25,Urban,Female,67366
63,Urban,Female,69026
57,Urban,Female,70654
63,Urban,Female,35166
24,Urban,Male,74934
40,Suburban,Male,71952
61,Urban,Female,1696500
49,Rural,Female,65580
28,Urban,Male,682805
39,Rural,Male,67228
39,Urban,Female,72084
60,Suburban,Male,1455978
42,Urban,Female,2311922
39,Urban,Male,5123948
45,Urban,Male,400202
46,Urban,Female,83248
30,Urban,Female,74122
35,Urban,Female,71624
19,Urban,Male,73396
46,Suburban,Male,516653
38,Rural,Male,5081535
32,Urban,Female,73856
69,Urban,Female,72978
44,Urban,Female,68950
67,Suburban,Male,80613
48,Rural,Male,65512
32,Rural,Female,72418
68,Rural,Male,72380
40,Suburban,Male,1580196
41,Rural,Female,137678
61,Urban,Female,67962
30,Rural,Female,75116
39,Suburban,Male,69604
60,Urban,Female,74666
54,Urban,Female,983332
50,Urban,Female,65832
20,Suburban,Female,73840
36,Urban,Female,71956
40,Urban,Male,69876
46,Suburban,Male,75458
47,Urban,Male,73114
56,Suburban,Male,72526
61,Suburban,Female,68868
64,Rural,Male,6605191
42,Urban,Male,71322
54,Rural,Female,70666
64,Urban,Male,222144
25,Urban,Female,67392
59,Urban,Male,68546
33,Urban,Male,74052
25,Rural,Female,433855
18,Urban,Female,72476
61,Rural,Female,66696
22,Urban,Male,69310
20,Urban,Female,65412
18,Urban,Male,68674
21,Urban,Male,70036
57,Rural,Male,7536670
52,Suburban,Female,2673017
49,Urban,Female,70710
59,Suburban,Male,42436
51,Urban,Female,69640
60,Urban,Male,7119340
42,Urban,Female,74348
27,Urban,Male,66014
38,Rural,Female,72330
63,Urban,Male,71844
56,Urban,Male,147133
44,Urban,Female,2076837
44,Urban,Male,46941
19,Urban,Female,71500
58,Urban,Male,66832
65,Suburban,Female,7443460
30,Urban,Male,85593
26,Urban,Female,268483
69,Urban,Female,7721442
53,Urban,Male,71856
39,Suburban,Female,72412
59,Urban,Male,69706
43,Urban,Male,69024
29,Urban,Male,4570373
34,Rural,Male,71726
31,Suburban,Female,6550812
31,Urban,Female,1064202
51,Urban,Female,129120
70,Urban,Male,72256
37,Suburban,Male,67658
28,Urban,Female,691577
33,Urban,Female,75230
68,Urban,Female,67448
48,Urban,Female,68098
23,Urban,Male,935750
36,Urban,Female,6512944
54,Urban,Male,73930
21,Urban,Female,66710
64,Urban,Male,72876
21,Urban,Male,66050
37,Urban,Female,74786
27,Rural,Female,65428
41,Urban,Male,3513048
52,Urban,Male,31545
43,Suburban,Male,66618
54,Urban,Female,74678
55,Urban,Female,67080
38,Urban,Male,71594
57,Urban,Male,65452
56,Urban,Female,65040
38,Urban,Female,73382
27,Suburban,Female,64928
55,Suburban,Female,69534
63,Urban,Male,1020036
21,Suburban,Male,66522
62,Urban,Male,68840
37,Urban,Female,66272
34,Urban,Male,66941
24,Urban,Male,68258
21,Urban,Male,73876
46,Urban,Male,3417888
31,Urban,Male,928036
20,Suburban,Female,537860
41,Urban,Female,580327
54,Urban,Male,69704
33,Urban,Male,70454
69,Urban,Male,72834
21,Suburban,Male,3130568
41,Rural,Female,1482244
51,Suburban,Female,68376
47,Suburban,Male,457981
35,Urban,Male,3277785
36,Urban,Female,75068
48,Urban,Female,71210
36,Rural,Female,301742
66,Urban,Female,70224
63,Urban,Female,70992
36,Urban,Male,67384
39,Urban,Male,69334
41,Urban,Female,72098
62,Suburban,Female,445390
29,Urban,Male,67326
47,Suburban,Female,638922
55,Rural,Male,132425
70,Suburban,Female,5857775
48,Rural,Male,74506
53,Urban,Male,1422700
36,Rural,Female,3834732
65,Urban,Male,37341
62,Suburban,Male,1234364
53,Urban,Male,44199
47,Urban,Male,1630364
66,Urban,Female,327033
50,Urban,Female,3037755
35,Rural,Female,161994
69,Suburban,Male,1904987
66,Urban,Female,71252
45,Urban,Female,66148
64,Suburban,Male,69650
28,Urban,Female,67546
62,Suburban,Female,287312
50,Urban,Female,2248558
34,Urban,Female,72026
23,Rural,Male,65982
21,Urban,Female,70628
37,Urban,Female,53113
65,Rural,Female,74650
64,Rural,Male,3369657
44,Rural,Female,2819037
32,Urban,Male,71710
23,Urban,Male,6161738
64,Urban,Male,72186
31,Urban,Female,103034
28,Suburban,Female,65438
56,Urban,Male,69320
26,Urban,Female,70806
43,Rural,Male,74442
33,Rural,Female,464328
22,Urban,Male,73914
69,Urban,Male,73852
27,Suburban,Male,1396400
67,Urban,Male,73510
20,Suburban,Female,129826
30,Suburban,Female,67214
60,Urban,Male,4944170
66,Urban,Female,4558614
47,Urban,Female,65466
62,Urban,Male,4317124
23,Urban,Male,58553
34,Suburban,Female,65456
62,Rural,Female,65876
68,Urban,Female,74386
70,Rural,Female,442641
36,Urban,Female,1934231
59,Suburban,Male,68344
52,Urban,Female,69860
63,Urban,Female,65154
43,Urban,Female,72932
68,Urban,Male,71136
22,Urban,Male,74556
46,Suburban,Female,65114
54,Urban,Female,74946
37,Rural,Male,694795
66,Urban,Male,74456
38,Urban,Male,71334
27,Urban,Male,6236164
22,Rural,Female,72176
53,Urban,Female,71246
23,Urban,Male,66004
43,Rural,Male,170369
21,Urban,Female,33495
56,Urban,Male,72382
56,Urban,Male,48190
67,Urban,Male,69538
52,Urban,Male,78978
18,Rural,Female,72152
41,Rural,Female,65260
53,Urban,Male,68108
23,Urban,Male,71560
58,Urban,Male,4149454
63,Urban,Male,65922
61,Urban,Female,70970
48,Urban,Female,428443
37,Urban,Male,65508
41,Urban,Female,1587335
42,Suburban,Male,75408
53,Suburban,Female,74268
38,Urban,Male,71520
47,Suburban,Female,72886
41,Urban,Male,74582
61,Urban,Male,65476
59,Suburban,Male,65088
47,Suburban,Female,313450
39,Urban,Female,67970
45,Urban,Male,67066
24,Rural,Female,66254
52,Urban,Male,73514
45,Urban,Male,68255
31,Suburban,Male,2618057
27,Urban,Male,66950
33,Urban,Male,83620
33,Rural,Female,3519348
48,Urban,Female,66826
59,Urban,Male,66912
42,Urban,Male,1774358
30,Urban,Male,476537
23,Urban,Male,67846
61,Urban,Male,1855238
26,Urban,Female,381685
62,Urban,Female,71434
53,Urban,Female,53346
60,Urban,Male,3756125
37,Urban,Male,70318
35,Urban,Male,233123
60,Urban,Male,66752
38,Urban,Male,239997
21,Suburban,Female,1398816
67,Suburban,Female,2919753
