"Age","Location","Gender","Income","Income_Category","EuclideanCluster","ManhattanCluster","CosineCluster"
23,"Urban","Female",52807,"$50,000 to $74,999",4,2,3
63,"Urban","Male",70432,"$50,000 to $74,999",1,1,1
28,"Urban","Female",67068,"$50,000 to $74,999",3,2,2
69,"Urban","Female",71132,"$50,000 to $74,999",2,2,1
21,"Suburban","Female",72932,"$50,000 to $74,999",3,4,2
25,"Urban","Female",73500,"$50,000 to $74,999",3,2,2
46,"Rural","Female",70608,"$50,000 to $74,999",3,3,2
68,"Urban","Male",67672,"$50,000 to $74,999",1,1,1
62,"Rural","Female",74942,"$50,000 to $74,999",2,3,1
63,"Urban","Male",69368,"$50,000 to $74,999",1,1,1
60,"Urban","Female",71608,"$50,000 to $74,999",2,2,1
51,"Urban","Female",68210,"$50,000 to $74,999",3,2,1
58,"Rural","Male",71674,"$50,000 to $74,999",1,3,1
66,"Rural","Female",65884,"$50,000 to $74,999",1,3,3
20,"Urban","Male",69144,"$50,000 to $74,999",3,1,4
23,"Urban","Female",73634,"$50,000 to $74,999",3,2,2
64,"Urban","Male",74542,"$50,000 to $74,999",1,1,1
40,"Suburban","Female",54579,"$50,000 to $74,999",4,2,3
66,"Suburban","Male",67288,"$50,000 to $74,999",1,4,3
52,"Urban","Female",65906,"$50,000 to $74,999",2,2,1
59,"Urban","Female",67706,"$50,000 to $74,999",2,2,1
52,"Urban","Male",68844,"$50,000 to $74,999",1,1,1
67,"Urban","Male",73226,"$50,000 to $74,999",1,1,1
35,"Urban","Male",74724,"$50,000 to $74,999",3,1,4
20,"Rural","Male",64926,"$50,000 to $74,999",3,3,2
49,"Urban","Male",68674,"$50,000 to $74,999",1,1,1
55,"Suburban","Female",70760,"$50,000 to $74,999",2,4,3
30,"Urban","Male",73938,"$50,000 to $74,999",3,1,4
42,"Urban","Male",68036,"$50,000 to $74,999",3,1,4
26,"Urban","Male",67166,"$50,000 to $74,999",3,1,4
21,"Urban","Female",69298,"$50,000 to $74,999",3,2,2
54,"Rural","Male",70582,"$50,000 to $74,999",1,3,1
51,"Urban","Female",70292,"$50,000 to $74,999",2,2,1
28,"Urban","Female",66296,"$50,000 to $74,999",3,2,2
58,"Suburban","Female",65220,"$50,000 to $74,999",2,4,3
20,"Urban","Female",74966,"$50,000 to $74,999",3,2,2
46,"Urban","Female",69780,"$50,000 to $74,999",3,2,1
20,"Urban","Female",70804,"$50,000 to $74,999",3,2,2
59,"Urban","Female",67022,"$50,000 to $74,999",2,2,1
42,"Suburban","Male",73122,"$50,000 to $74,999",3,4,2
28,"Urban","Male",66378,"$50,000 to $74,999",3,1,4
41,"Suburban","Male",68116,"$50,000 to $74,999",1,4,2
32,"Urban","Male",67070,"$50,000 to $74,999",3,1,4
55,"Urban","Female",72184,"$50,000 to $74,999",2,2,1
25,"Urban","Female",73368,"$50,000 to $74,999",3,2,2
22,"Urban","Female",70104,"$50,000 to $74,999",3,2,2
65,"Urban","Female",66148,"$50,000 to $74,999",2,2,1
35,"Urban","Female",72758,"$50,000 to $74,999",3,2,2
30,"Suburban","Male",71580,"$50,000 to $74,999",3,4,2
34,"Urban","Male",67976,"$50,000 to $74,999",3,1,4
57,"Urban","Female",66080,"$50,000 to $74,999",2,2,1
49,"Rural","Female",54181,"$50,000 to $74,999",4,2,3
46,"Urban","Male",72700,"$50,000 to $74,999",1,1,4
68,"Urban","Male",72436,"$50,000 to $74,999",1,1,1
51,"Urban","Male",66588,"$50,000 to $74,999",1,1,3
30,"Urban","Male",73736,"$50,000 to $74,999",3,1,4
62,"Urban","Female",73992,"$50,000 to $74,999",2,2,1
23,"Urban","Male",72502,"$50,000 to $74,999",3,1,4
41,"Urban","Male",65178,"$50,000 to $74,999",3,1,4
36,"Rural","Female",68532,"$50,000 to $74,999",3,3,2
33,"Rural","Female",68102,"$50,000 to $74,999",3,3,2
45,"Suburban","Male",65962,"$50,000 to $74,999",1,4,3
65,"Urban","Male",69964,"$50,000 to $74,999",1,1,1
62,"Suburban","Female",73000,"$50,000 to $74,999",2,4,1
42,"Urban","Female",68520,"$50,000 to $74,999",3,2,1
59,"Rural","Female",71230,"$50,000 to $74,999",2,3,1
55,"Urban","Female",74644,"$50,000 to $74,999",2,2,1
22,"Urban","Female",67268,"$50,000 to $74,999",3,2,2
60,"Urban","Male",72212,"$50,000 to $74,999",1,1,1
68,"Urban","Male",66476,"$50,000 to $74,999",1,1,3
48,"Urban","Female",65324,"$50,000 to $74,999",3,2,1
40,"Urban","Female",72932,"$50,000 to $74,999",3,2,1
59,"Suburban","Male",69158,"$50,000 to $74,999",1,4,3
49,"Suburban","Female",74378,"$50,000 to $74,999",2,4,1
70,"Urban","Female",65500,"$50,000 to $74,999",2,2,1
48,"Urban","Female",65364,"$50,000 to $74,999",3,2,1
35,"Urban","Female",71092,"$50,000 to $74,999",3,2,2
53,"Urban","Male",70430,"$50,000 to $74,999",1,1,1
56,"Urban","Male",73908,"$50,000 to $74,999",1,1,1
19,"Urban","Male",73602,"$50,000 to $74,999",3,1,4
49,"Urban","Female",52623,"$50,000 to $74,999",4,2,3
44,"Urban","Male",71622,"$50,000 to $74,999",1,1,4
66,"Urban","Female",65986,"$50,000 to $74,999",2,2,1
58,"Urban","Female",56429,"$50,000 to $74,999",4,2,3
34,"Urban","Male",70130,"$50,000 to $74,999",1,1,4
57,"Urban","Female",68434,"$50,000 to $74,999",3,2,1
51,"Urban","Female",65944,"$50,000 to $74,999",2,2,1
65,"Urban","Male",65936,"$50,000 to $74,999",1,1,3
23,"Urban","Female",73316,"$50,000 to $74,999",3,2,2
27,"Urban","Male",68370,"$50,000 to $74,999",3,1,4
49,"Urban","Female",74104,"$50,000 to $74,999",2,2,1
51,"Suburban","Male",69034,"$50,000 to $74,999",1,4,3
32,"Urban","Female",68856,"$50,000 to $74,999",3,2,2
47,"Urban","Female",69562,"$50,000 to $74,999",3,2,1
54,"Urban","Male",67958,"$50,000 to $74,999",1,1,3
39,"Rural","Female",68778,"$50,000 to $74,999",3,3,2
37,"Urban","Male",70780,"$50,000 to $74,999",1,1,4
53,"Suburban","Male",73666,"$50,000 to $74,999",1,4,1
21,"Urban","Male",72652,"$50,000 to $74,999",3,1,4
29,"Urban","Male",70302,"$50,000 to $74,999",3,1,4
39,"Urban","Male",74528,"$50,000 to $74,999",3,1,4
34,"Suburban","Male",69390,"$50,000 to $74,999",3,4,2
27,"Suburban","Female",66992,"$50,000 to $74,999",3,4,2
35,"Urban","Female",66842,"$50,000 to $74,999",3,2,2
31,"Urban","Male",67730,"$50,000 to $74,999",3,1,4
64,"Urban","Female",72660,"$50,000 to $74,999",2,2,1
46,"Urban","Female",71490,"$50,000 to $74,999",3,2,1
53,"Urban","Male",72918,"$50,000 to $74,999",1,1,1
52,"Urban","Male",60672,"$50,000 to $74,999",4,2,3
29,"Suburban","Male",71690,"$50,000 to $74,999",3,4,2
46,"Urban","Male",72204,"$50,000 to $74,999",1,1,4
28,"Urban","Male",68154,"$50,000 to $74,999",3,1,4
50,"Suburban","Female",65038,"$50,000 to $74,999",3,4,3
64,"Suburban","Female",66944,"$50,000 to $74,999",2,4,3
32,"Urban","Male",73562,"$50,000 to $74,999",3,1,4
49,"Urban","Male",67134,"$50,000 to $74,999",1,1,4
68,"Rural","Female",74838,"$50,000 to $74,999",2,3,1
28,"Urban","Male",68768,"$50,000 to $74,999",3,1,4
40,"Urban","Male",71784,"$50,000 to $74,999",1,1,4
43,"Urban","Male",68548,"$50,000 to $74,999",3,1,4
51,"Urban","Female",70884,"$50,000 to $74,999",2,2,1
63,"Urban","Male",65640,"$50,000 to $74,999",1,1,3
51,"Urban","Female",67412,"$50,000 to $74,999",2,2,1
21,"Rural","Female",74306,"$50,000 to $74,999",3,3,2
30,"Urban","Female",65588,"$50,000 to $74,999",3,2,2
32,"Urban","Female",69708,"$50,000 to $74,999",3,2,2
28,"Urban","Female",67420,"$50,000 to $74,999",3,2,2
69,"Urban","Female",69152,"$50,000 to $74,999",2,2,1
49,"Urban","Female",74740,"$50,000 to $74,999",2,2,1
64,"Urban","Female",73746,"$50,000 to $74,999",2,2,1
31,"Urban","Female",70132,"$50,000 to $74,999",3,2,2
44,"Suburban","Female",71894,"$50,000 to $74,999",3,4,2
34,"Urban","Male",68276,"$50,000 to $74,999",3,1,4
46,"Urban","Male",67172,"$50,000 to $74,999",1,1,4
38,"Urban","Male",68056,"$50,000 to $74,999",3,1,4
64,"Urban","Male",73290,"$50,000 to $74,999",1,1,1
33,"Urban","Male",73200,"$50,000 to $74,999",3,1,4
54,"Urban","Male",73564,"$50,000 to $74,999",1,1,1
37,"Suburban","Male",65826,"$50,000 to $74,999",3,4,2
23,"Urban","Male",74060,"$50,000 to $74,999",3,1,4
22,"Urban","Male",69232,"$50,000 to $74,999",3,1,4
18,"Urban","Female",70244,"$50,000 to $74,999",3,2,2
55,"Rural","Male",67444,"$50,000 to $74,999",1,3,3
32,"Urban","Female",73482,"$50,000 to $74,999",3,2,2
52,"Urban","Female",74304,"$50,000 to $74,999",2,2,1
66,"Suburban","Male",72912,"$50,000 to $74,999",1,4,1
42,"Urban","Male",74640,"$50,000 to $74,999",1,1,4
29,"Urban","Female",68860,"$50,000 to $74,999",3,2,2
32,"Urban","Female",68512,"$50,000 to $74,999",3,2,2
44,"Urban","Female",66716,"$50,000 to $74,999",3,2,1
25,"Suburban","Male",70084,"$50,000 to $74,999",3,4,2
63,"Urban","Male",66006,"$50,000 to $74,999",1,1,3
42,"Urban","Female",67126,"$50,000 to $74,999",3,2,2
34,"Urban","Female",68254,"$50,000 to $74,999",3,2,2
46,"Urban","Male",70572,"$50,000 to $74,999",1,1,1
25,"Urban","Male",71842,"$50,000 to $74,999",3,1,4
32,"Urban","Male",66188,"$50,000 to $74,999",3,1,4
44,"Urban","Female",73104,"$50,000 to $74,999",3,2,1
63,"Urban","Male",66588,"$50,000 to $74,999",1,1,3
69,"Urban","Male",69562,"$50,000 to $74,999",1,1,1
46,"Urban","Female",68178,"$50,000 to $74,999",3,2,1
20,"Urban","Female",72936,"$50,000 to $74,999",3,2,2
37,"Urban","Male",71110,"$50,000 to $74,999",1,1,4
63,"Rural","Male",68797,"$50,000 to $74,999",1,3,3
42,"Urban","Female",67224,"$50,000 to $74,999",3,2,2
47,"Urban","Female",66448,"$50,000 to $74,999",3,2,1
24,"Rural","Female",74716,"$50,000 to $74,999",3,3,2
34,"Suburban","Female",69642,"$50,000 to $74,999",3,4,2
55,"Urban","Male",53104,"$50,000 to $74,999",4,2,3
39,"Urban","Female",72964,"$50,000 to $74,999",3,2,2
70,"Urban","Male",71458,"$50,000 to $74,999",1,1,1
19,"Urban","Female",70392,"$50,000 to $74,999",3,2,2
25,"Rural","Female",66374,"$50,000 to $74,999",3,3,2
28,"Urban","Male",72956,"$50,000 to $74,999",3,1,4
30,"Suburban","Male",69122,"$50,000 to $74,999",3,4,2
34,"Rural","Female",68914,"$50,000 to $74,999",3,3,2
25,"Urban","Male",66734,"$50,000 to $74,999",3,1,4
35,"Suburban","Female",65642,"$50,000 to $74,999",3,4,2
35,"Urban","Male",72734,"$50,000 to $74,999",3,1,4
64,"Urban","Female",66666,"$50,000 to $74,999",2,2,1
55,"Urban","Female",65016,"$50,000 to $74,999",2,2,1
49,"Suburban","Male",73574,"$50,000 to $74,999",1,4,1
28,"Suburban","Female",66040,"$50,000 to $74,999",3,4,2
55,"Urban","Male",69812,"$50,000 to $74,999",1,1,1
25,"Urban","Female",65346,"$50,000 to $74,999",3,2,2
28,"Suburban","Male",66566,"$50,000 to $74,999",3,4,2
39,"Urban","Male",67040,"$50,000 to $74,999",3,1,4
41,"Urban","Male",69546,"$50,000 to $74,999",1,1,4
34,"Urban","Female",53519,"$50,000 to $74,999",4,2,3
63,"Urban","Female",67846,"$50,000 to $74,999",2,2,1
49,"Urban","Male",50948,"$50,000 to $74,999",4,2,3
32,"Urban","Male",70758,"$50,000 to $74,999",3,1,4
33,"Urban","Female",70888,"$50,000 to $74,999",3,2,2
45,"Urban","Male",73356,"$50,000 to $74,999",1,1,4
37,"Rural","Female",67548,"$50,000 to $74,999",3,3,2
50,"Rural","Female",69096,"$50,000 to $74,999",1,3,2
27,"Urban","Female",71350,"$50,000 to $74,999",3,2,2
57,"Urban","Female",66102,"$50,000 to $74,999",2,2,1
49,"Urban","Female",69852,"$50,000 to $74,999",3,2,1
50,"Urban","Male",67124,"$50,000 to $74,999",1,1,4
19,"Urban","Male",71438,"$50,000 to $74,999",3,1,4
50,"Urban","Male",71640,"$50,000 to $74,999",1,1,1
50,"Urban","Male",69306,"$50,000 to $74,999",1,1,1
58,"Urban","Female",71466,"$50,000 to $74,999",2,2,1
69,"Urban","Male",74270,"$50,000 to $74,999",1,1,1
43,"Urban","Male",55866,"$50,000 to $74,999",4,2,3
56,"Urban","Male",69710,"$50,000 to $74,999",1,1,1
19,"Urban","Female",72428,"$50,000 to $74,999",3,2,2
56,"Rural","Male",68905,"$50,000 to $74,999",1,3,3
43,"Suburban","Male",74750,"$50,000 to $74,999",3,4,1
63,"Suburban","Female",70244,"$50,000 to $74,999",2,4,3
32,"Suburban","Male",68744,"$50,000 to $74,999",3,4,2
59,"Urban","Male",67510,"$50,000 to $74,999",1,1,3
66,"Urban","Male",72588,"$50,000 to $74,999",1,1,1
57,"Urban","Male",66420,"$50,000 to $74,999",1,1,3
28,"Urban","Female",73572,"$50,000 to $74,999",3,2,2
20,"Rural","Female",65771,"$50,000 to $74,999",3,3,2
23,"Urban","Female",74956,"$50,000 to $74,999",3,2,2
23,"Urban","Female",69414,"$50,000 to $74,999",3,2,2
26,"Urban","Female",71114,"$50,000 to $74,999",3,2,2
48,"Suburban","Female",64994,"$50,000 to $74,999",3,4,3
49,"Urban","Female",73308,"$50,000 to $74,999",2,2,1
67,"Urban","Male",70526,"$50,000 to $74,999",1,1,1
29,"Urban","Female",69980,"$50,000 to $74,999",3,2,2
67,"Urban","Female",72224,"$50,000 to $74,999",2,2,1
24,"Urban","Male",74648,"$50,000 to $74,999",3,1,4
28,"Urban","Male",66700,"$50,000 to $74,999",3,1,4
21,"Urban","Male",71478,"$50,000 to $74,999",3,1,4
23,"Urban","Female",74808,"$50,000 to $74,999",3,2,2
20,"Urban","Male",73836,"$50,000 to $74,999",3,1,4
58,"Urban","Female",66114,"$50,000 to $74,999",2,2,1
31,"Urban","Female",71348,"$50,000 to $74,999",3,2,2
35,"Urban","Male",70772,"$50,000 to $74,999",1,1,4
29,"Urban","Male",73968,"$50,000 to $74,999",3,1,4
29,"Suburban","Male",73072,"$50,000 to $74,999",3,4,2
42,"Urban","Male",68978,"$50,000 to $74,999",3,1,4
62,"Urban","Female",66110,"$50,000 to $74,999",2,2,1
68,"Urban","Male",73138,"$50,000 to $74,999",1,1,1
63,"Suburban","Male",72250,"$50,000 to $74,999",1,4,1
62,"Suburban","Female",74108,"$50,000 to $74,999",2,4,1
25,"Suburban","Male",65671,"$50,000 to $74,999",3,4,2
70,"Rural","Female",73538,"$50,000 to $74,999",2,3,1
49,"Suburban","Female",56729,"$50,000 to $74,999",4,2,3
68,"Urban","Female",65628,"$50,000 to $74,999",2,2,1
35,"Suburban","Male",50575,"$50,000 to $74,999",4,2,3
36,"Urban","Male",74250,"$50,000 to $74,999",3,1,4
39,"Urban","Female",71338,"$50,000 to $74,999",3,2,2
49,"Urban","Male",65598,"$50,000 to $74,999",1,1,4
20,"Suburban","Female",70734,"$50,000 to $74,999",3,4,2
50,"Urban","Female",73564,"$50,000 to $74,999",2,2,1
24,"Urban","Female",71422,"$50,000 to $74,999",3,2,2
29,"Urban","Male",65612,"$50,000 to $74,999",3,1,4
47,"Suburban","Female",65204,"$50,000 to $74,999",3,4,3
38,"Urban","Male",70134,"$50,000 to $74,999",1,1,4
48,"Urban","Female",70030,"$50,000 to $74,999",3,2,1
41,"Urban","Male",70732,"$50,000 to $74,999",1,1,4
54,"Rural","Male",66964,"$50,000 to $74,999",1,3,3
21,"Rural","Male",66434,"$50,000 to $74,999",3,3,2
45,"Suburban","Female",70592,"$50,000 to $74,999",3,4,2
61,"Suburban","Male",73862,"$50,000 to $74,999",1,4,1
37,"Suburban","Female",70574,"$50,000 to $74,999",3,4,2
41,"Suburban","Male",68184,"$50,000 to $74,999",1,4,2
68,"Urban","Male",69878,"$50,000 to $74,999",1,1,1
49,"Urban","Male",73426,"$50,000 to $74,999",1,1,4
58,"Urban","Male",73760,"$50,000 to $74,999",1,1,1
53,"Suburban","Male",73302,"$50,000 to $74,999",1,4,1
51,"Urban","Female",65632,"$50,000 to $74,999",2,2,1
53,"Suburban","Female",68224,"$50,000 to $74,999",2,4,3
23,"Urban","Male",73562,"$50,000 to $74,999",3,1,4
68,"Urban","Male",72004,"$50,000 to $74,999",1,1,1
68,"Urban","Male",67352,"$50,000 to $74,999",1,1,1
20,"Urban","Female",65012,"$50,000 to $74,999",3,2,2
62,"Urban","Male",68684,"$50,000 to $74,999",1,1,1
38,"Urban","Female",71976,"$50,000 to $74,999",3,2,2
32,"Urban","Male",73552,"$50,000 to $74,999",3,1,4
52,"Urban","Female",72792,"$50,000 to $74,999",2,2,1
43,"Urban","Male",52610,"$50,000 to $74,999",4,2,3
25,"Rural","Male",73200,"$50,000 to $74,999",3,3,2
40,"Urban","Male",72156,"$50,000 to $74,999",1,1,4
59,"Urban","Male",68132,"$50,000 to $74,999",1,1,1
31,"Urban","Female",70866,"$50,000 to $74,999",3,2,2
31,"Suburban","Female",68270,"$50,000 to $74,999",3,4,2
19,"Rural","Male",74792,"$50,000 to $74,999",3,3,2
22,"Urban","Female",67588,"$50,000 to $74,999",3,2,2
62,"Urban","Female",65474,"$50,000 to $74,999",2,2,1
31,"Urban","Male",74824,"$50,000 to $74,999",3,1,4
56,"Suburban","Male",73314,"$50,000 to $74,999",1,4,1
42,"Urban","Male",74252,"$50,000 to $74,999",1,1,4
56,"Urban","Female",69206,"$50,000 to $74,999",3,2,1
23,"Urban","Female",74310,"$50,000 to $74,999",3,2,2
42,"Urban","Male",67224,"$50,000 to $74,999",3,1,4
19,"Urban","Male",71180,"$50,000 to $74,999",3,1,4
54,"Urban","Male",71242,"$50,000 to $74,999",1,1,1
22,"Urban","Male",52944,"$50,000 to $74,999",4,2,3
18,"Rural","Male",69718,"$50,000 to $74,999",3,3,2
57,"Rural","Female",71956,"$50,000 to $74,999",2,3,1
29,"Suburban","Male",67822,"$50,000 to $74,999",3,4,2
53,"Urban","Male",67594,"$50,000 to $74,999",1,1,3
62,"Urban","Male",67852,"$50,000 to $74,999",1,1,3
40,"Urban","Female",66492,"$50,000 to $74,999",3,2,2
64,"Suburban","Male",70742,"$50,000 to $74,999",1,4,3
48,"Urban","Female",65072,"$50,000 to $74,999",3,2,1
28,"Urban","Female",70428,"$50,000 to $74,999",3,2,2
27,"Urban","Male",65950,"$50,000 to $74,999",3,1,4
31,"Urban","Male",67138,"$50,000 to $74,999",3,1,4
27,"Suburban","Female",66530,"$50,000 to $74,999",3,4,2
47,"Urban","Male",70486,"$50,000 to $74,999",1,1,1
18,"Urban","Female",73388,"$50,000 to $74,999",3,2,2
22,"Urban","Female",70158,"$50,000 to $74,999",3,2,2
37,"Urban","Female",74060,"$50,000 to $74,999",3,2,1
25,"Rural","Male",70938,"$50,000 to $74,999",3,3,2
29,"Urban","Female",64902,"$50,000 to $74,999",3,2,2
18,"Urban","Male",74650,"$50,000 to $74,999",3,1,4
64,"Urban","Male",65594,"$50,000 to $74,999",1,1,3
54,"Urban","Male",72664,"$50,000 to $74,999",1,1,1
54,"Suburban","Male",69108,"$50,000 to $74,999",1,4,3
66,"Suburban","Female",73436,"$50,000 to $74,999",2,4,1
61,"Urban","Male",68382,"$50,000 to $74,999",1,1,1
32,"Urban","Female",68316,"$50,000 to $74,999",3,2,2
61,"Urban","Female",54451,"$50,000 to $74,999",4,2,3
37,"Urban","Male",69680,"$50,000 to $74,999",3,1,4
67,"Urban","Male",67520,"$50,000 to $74,999",1,1,1
31,"Urban","Male",70744,"$50,000 to $74,999",3,1,4
19,"Suburban","Female",69724,"$50,000 to $74,999",3,4,2
26,"Urban","Female",73894,"$50,000 to $74,999",3,2,2
54,"Urban","Female",74166,"$50,000 to $74,999",2,2,1
37,"Urban","Male",71150,"$50,000 to $74,999",1,1,4
43,"Urban","Female",71676,"$50,000 to $74,999",3,2,1
46,"Urban","Female",70380,"$50,000 to $74,999",3,2,1
52,"Urban","Male",69652,"$50,000 to $74,999",1,1,1
23,"Urban","Male",71840,"$50,000 to $74,999",3,1,4
54,"Suburban","Female",69464,"$50,000 to $74,999",2,4,3
70,"Suburban","Female",68690,"$50,000 to $74,999",2,4,3
22,"Urban","Female",69186,"$50,000 to $74,999",3,2,2
66,"Rural","Female",71308,"$50,000 to $74,999",2,3,1
68,"Urban","Male",65640,"$50,000 to $74,999",1,1,3
29,"Urban","Male",71258,"$50,000 to $74,999",3,1,4
59,"Urban","Male",72664,"$50,000 to $74,999",1,1,1
37,"Urban","Female",72488,"$50,000 to $74,999",3,2,2
70,"Suburban","Female",70174,"$50,000 to $74,999",2,4,3
41,"Suburban","Male",72690,"$50,000 to $74,999",3,4,2
42,"Urban","Female",70528,"$50,000 to $74,999",3,2,1
67,"Urban","Male",74840,"$50,000 to $74,999",1,1,1
46,"Urban","Male",69168,"$50,000 to $74,999",3,1,4
56,"Suburban","Female",71176,"$50,000 to $74,999",2,4,3
48,"Urban","Female",70826,"$50,000 to $74,999",3,2,1
64,"Urban","Female",70212,"$50,000 to $74,999",2,2,1
60,"Urban","Female",70490,"$50,000 to $74,999",2,2,1
67,"Suburban","Female",67574,"$50,000 to $74,999",2,4,3
40,"Urban","Female",65560,"$50,000 to $74,999",3,2,2
55,"Suburban","Male",66202,"$50,000 to $74,999",1,4,3
37,"Suburban","Female",66822,"$50,000 to $74,999",3,4,2
40,"Urban","Male",68112,"$50,000 to $74,999",3,1,4
33,"Urban","Male",67404,"$50,000 to $74,999",3,1,4
67,"Suburban","Male",71326,"$50,000 to $74,999",1,4,1
25,"Urban","Male",67136,"$50,000 to $74,999",3,1,4
67,"Urban","Female",71848,"$50,000 to $74,999",2,2,1
18,"Urban","Male",74898,"$50,000 to $74,999",3,1,4
25,"Urban","Female",70560,"$50,000 to $74,999",3,2,2
46,"Urban","Male",68692,"$50,000 to $74,999",3,1,4
49,"Urban","Female",72592,"$50,000 to $74,999",2,2,1
22,"Urban","Male",72610,"$50,000 to $74,999",3,1,4
64,"Urban","Male",66624,"$50,000 to $74,999",1,1,3
51,"Urban","Female",72534,"$50,000 to $74,999",2,2,1
18,"Urban","Female",67034,"$50,000 to $74,999",3,2,2
67,"Rural","Female",71366,"$50,000 to $74,999",2,3,1
35,"Urban","Male",67718,"$50,000 to $74,999",3,1,4
43,"Rural","Male",71228,"$50,000 to $74,999",1,3,1
25,"Urban","Male",74742,"$50,000 to $74,999",3,1,4
64,"Urban","Female",70244,"$50,000 to $74,999",2,2,1
66,"Urban","Male",66680,"$50,000 to $74,999",1,1,3
29,"Suburban","Female",67850,"$50,000 to $74,999",3,4,2
44,"Urban","Male",65372,"$50,000 to $74,999",3,1,4
25,"Urban","Female",74416,"$50,000 to $74,999",3,2,2
63,"Urban","Female",74080,"$50,000 to $74,999",2,2,1
21,"Suburban","Female",73896,"$50,000 to $74,999",3,4,2
50,"Suburban","Male",74746,"$50,000 to $74,999",1,4,1
18,"Urban","Female",70718,"$50,000 to $74,999",3,2,2
48,"Suburban","Male",74694,"$50,000 to $74,999",3,4,1
22,"Suburban","Male",71180,"$50,000 to $74,999",3,4,2
43,"Urban","Male",74200,"$50,000 to $74,999",1,1,4
45,"Urban","Male",68960,"$50,000 to $74,999",3,1,4
19,"Urban","Male",67508,"$50,000 to $74,999",3,1,4
67,"Suburban","Female",67488,"$50,000 to $74,999",2,4,3
26,"Suburban","Female",70250,"$50,000 to $74,999",3,4,2
50,"Urban","Male",70050,"$50,000 to $74,999",1,1,1
58,"Urban","Male",73542,"$50,000 to $74,999",1,1,1
65,"Urban","Female",65902,"$50,000 to $74,999",2,2,1
26,"Urban","Female",69850,"$50,000 to $74,999",3,2,2
48,"Urban","Male",69530,"$50,000 to $74,999",1,1,1
28,"Urban","Female",74568,"$50,000 to $74,999",3,2,2
21,"Urban","Male",69088,"$50,000 to $74,999",3,1,4
55,"Suburban","Male",68462,"$50,000 to $74,999",1,4,3
55,"Suburban","Male",67618,"$50,000 to $74,999",1,4,3
36,"Urban","Male",69556,"$50,000 to $74,999",1,1,4
35,"Suburban","Male",67242,"$50,000 to $74,999",3,4,2
58,"Urban","Female",70648,"$50,000 to $74,999",2,2,1
40,"Urban","Female",67048,"$50,000 to $74,999",3,2,2
36,"Suburban","Female",70756,"$50,000 to $74,999",3,4,2
62,"Urban","Male",73342,"$50,000 to $74,999",1,1,1
18,"Urban","Male",72656,"$50,000 to $74,999",3,1,4
41,"Urban","Female",65378,"$50,000 to $74,999",3,2,2
24,"Urban","Male",50874,"$50,000 to $74,999",4,2,3
42,"Urban","Female",72562,"$50,000 to $74,999",3,2,1
38,"Urban","Male",69904,"$50,000 to $74,999",1,1,4
29,"Urban","Female",69416,"$50,000 to $74,999",3,2,2
32,"Urban","Female",70952,"$50,000 to $74,999",3,2,2
38,"Suburban","Male",73752,"$50,000 to $74,999",3,4,2
46,"Urban","Female",74982,"$50,000 to $74,999",3,2,1
42,"Urban","Male",71050,"$50,000 to $74,999",1,1,4
50,"Urban","Female",70106,"$50,000 to $74,999",3,2,1
66,"Urban","Female",74340,"$50,000 to $74,999",2,2,1
66,"Urban","Female",69910,"$50,000 to $74,999",2,2,1
52,"Suburban","Male",64892,"$50,000 to $74,999",1,4,3
61,"Urban","Male",65630,"$50,000 to $74,999",1,1,3
55,"Urban","Female",66254,"$50,000 to $74,999",2,2,1
43,"Suburban","Female",66924,"$50,000 to $74,999",3,4,3
28,"Urban","Male",69062,"$50,000 to $74,999",3,1,4
63,"Rural","Male",68216,"$50,000 to $74,999",1,3,3
31,"Urban","Male",74694,"$50,000 to $74,999",3,1,4
27,"Urban","Female",67726,"$50,000 to $74,999",3,2,2
19,"Suburban","Male",71670,"$50,000 to $74,999",3,4,2
63,"Urban","Male",68250,"$50,000 to $74,999",1,1,1
43,"Suburban","Male",64954,"$50,000 to $74,999",1,4,3
25,"Urban","Female",67320,"$50,000 to $74,999",3,2,2
65,"Urban","Male",69456,"$50,000 to $74,999",1,1,1
23,"Urban","Female",64956,"$50,000 to $74,999",3,2,2
45,"Urban","Male",74914,"$50,000 to $74,999",1,1,4
46,"Urban","Female",72348,"$50,000 to $74,999",2,2,1
43,"Urban","Male",69944,"$50,000 to $74,999",1,1,4
42,"Urban","Male",74868,"$50,000 to $74,999",1,1,4
29,"Urban","Male",65178,"$50,000 to $74,999",3,1,4
22,"Urban","Male",74148,"$50,000 to $74,999",3,1,4
65,"Suburban","Female",71828,"$50,000 to $74,999",2,4,1
32,"Urban","Male",72294,"$50,000 to $74,999",3,1,4
53,"Urban","Female",68994,"$50,000 to $74,999",3,2,1
60,"Suburban","Male",74106,"$50,000 to $74,999",1,4,1
65,"Urban","Male",66768,"$50,000 to $74,999",1,1,3
40,"Urban","Female",67016,"$50,000 to $74,999",3,2,2
23,"Urban","Male",67182,"$50,000 to $74,999",3,1,4
67,"Suburban","Male",73302,"$50,000 to $74,999",1,4,1
61,"Urban","Male",70606,"$50,000 to $74,999",1,1,1
38,"Urban","Male",72104,"$50,000 to $74,999",1,1,4
40,"Urban","Male",69580,"$50,000 to $74,999",1,1,4
60,"Urban","Male",72460,"$50,000 to $74,999",1,1,1
33,"Urban","Female",65044,"$50,000 to $74,999",3,2,2
64,"Urban","Female",69206,"$50,000 to $74,999",2,2,1
